scenario,intent,rows,rf,vlc,reliable,unreliable,short_range_augmented
Low,Safety,4658,2370,2288,2947,1711,2846
Low,Emergency,4659,2370,2289,3139,1520,2818
Low,Infotainment,4668,2370,2298,3471,1197,2776
Low,Telemetry,4669,2370,2299,3424,1245,2796
Medium,Safety,4658,2370,2288,2947,1711,2846
Medium,Emergency,4659,2370,2289,3139,1520,2818
Medium,Infotainment,4668,2370,2298,3471,1197,2776
Medium,Telemetry,4669,2370,2299,3424,1245,2796
High,Safety,4658,2370,2288,2425,2233,2846
High,Emergency,4659,2370,2289,2959,1700,2818
High,Infotainment,4668,2370,2298,3471,1197,2776
High,Telemetry,4669,2370,2299,3424,1245,2796
